COUNTRY	DC/CAPITA	DC_%_E_CONSUMPTION	NH_PRICES	HH_PRICES	GDP
Albania	0.00000042313463213098200	0.2	0.142000	0.086200	10000
Austria	0.00000739354410950361000	0.6	0.257800	0.369700	55710
Belgium	0.00000680665233460192000	1.0	0.265700	0.393300	53920
Bosnia and Herzegovina	0.00000058710115283182400	0.2	0.130900	0.231700	
Bulgaria	0.00000372823641989884000	0.7	0.173300	0.110600	18060
Croatia	0.00000232297030469627000	0.7	0.261800	0.207600	23870
Cyprus	0.00000612329249437423000	0.7	0.201500	0.479500	36690
Czechia	0.00000311654979604931000	1.2	0.264700	0.464500	31810
Denmark	0.00000834343723582592000	4.5	0.164900	0.247900	68310
Estonia	0.00001167887474041880000	1.0	0.201100	0.259600	30380
Finland	0.00000851672231812407000	1.0	0.107100	0.269400	49710
France	0.00000469141947973236000	2.6	0.213800	0.323300	43350
Georgia	0.00000107976610106719000	0.2	0.090700	0.048300	
Germany	0.00000606625208759237000	4.0	0.266500	0.426700	53520
Greece	0.00000134491923615888000	0.7	0.243700	0.350500	23570
Hungary	0.00000157240912575940000	0.5	0.211900	0.071400	23000
Iceland	0.00001540657963661010000	10.5		0.367000	87390
Ireland	0.00002334602597328110000	19.0	0.296000	0.366200	116770
Italy	0.00000285063792440845000	0.9	0.304500	0.476900	38310
Latvia	0.00001454011240045410000	0.5	0.241900	0.359100	23410
Liechtenstein	0.00004891769597651950000			0.447800	
Lithuania	0.00000622694301378507000	0.5	0.284400	0.198100	29170
Luxembourg	0.00003372567535664900000	4.1	0.258800	0.457900	130300
Macedonia	0.00000329670329670330000	0.325		0.285700	9299
Malta	0.00001044841097083150000	0.7	0.185200	0.202300	42160
Moldova	0.00000293953996199595000	0.2	0.192200		
Netherlands	0.00001651516039074870000	5.8	0.337300	0.27	65210
Norway	0.00000840134850581123000	2.8	0.074400	0.444900	83950
Poland	0.00000394547625802812000	0.85	0.250500	0.191200	24680
Portugal	0.00000195355470208989000	0.6	0.175000	0.307900	28390
Romania	0.00000162849072897601000	0.55	0.168800	0.121100	19960
Serbia	0.00000182710056041742000	1.75	0.122400	0.140700	13540
Slovakia	0.00000258328749535700000	0.5	0.223500	0.199800	25060
Slovenia	0.00000610085177276674000	0.5	0.170900	0.267300	33060
Spain	0.00000293410585080267000	0.7	0.207600	0.362000	34210
Sweden	0.00000897266736621989000	2.3	0.184600	0.369900	55620
United Kingdom	0.000007323741007	4.0			47250
